epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.855,1.43624,2.52183,1.7987,0.4139,0.43896,0.36003,0.12531,2.13262,6.55258,2.65919,0.000554132,0.000554132,0.000554132
2,305.404,1.57634,2.01686,1.90118,0.53146,0.35978,0.33981,0.12291,2.28953,5.60679,2.55506,0.00108782,0.00108782,0.00108782
3,454.66,1.57639,1.88642,1.90383,0.39441,0.38952,0.32967,0.10565,2.31864,7.47894,2.65886,0.00159951,0.00159951,0.00159951
4,603.026,1.52833,1.82122,1.87191,0.59824,0.42838,0.45419,0.16284,2.1753,3.97851,2.38077,0.00156798,0.00156798,0.00156798
5,751.348,1.47049,1.70841,1.81055,0.52362,0.53076,0.51211,0.26215,1.88692,3.57786,2.13498,0.00153497,0.00153497,0.00153497
6,899.184,1.4073,1.60044,1.77055,0.55444,0.51686,0.51763,0.22658,2.07631,5.57634,2.33055,0.00150197,0.00150197,0.00150197
7,1044.23,1.37919,1.56465,1.74054,0.61133,0.56537,0.57228,0.24922,1.92629,2.62859,2.15803,0.00146896,0.00146896,0.00146896
8,1192.36,1.35711,1.49139,1.72709,0.60176,0.59752,0.5705,0.27114,1.83723,2.82119,2.12716,0.00143595,0.00143595,0.00143595
9,1335.91,1.32761,1.46128,1.69358,0.70314,0.61466,0.6117,0.30192,1.76469,2.49857,1.99508,0.00140295,0.00140295,0.00140295
10,1478.96,1.29163,1.39121,1.66473,0.71531,0.6463,0.65864,0.3725,1.64458,2.89691,1.89172,0.00136994,0.00136994,0.00136994
11,1624.46,1.28138,1.36751,1.64976,0.63472,0.64461,0.64721,0.37225,1.62846,2.99523,1.8875,0.00133693,0.00133693,0.00133693
12,1774.74,1.25806,1.34701,1.63526,0.63457,0.65451,0.65781,0.38015,1.60668,2.91929,1.86348,0.00130393,0.00130393,0.00130393
13,1925.53,1.2629,1.31357,1.62607,0.70882,0.6442,0.67154,0.38719,1.56796,2.17709,1.81415,0.00127092,0.00127092,0.00127092
14,2076.1,1.22821,1.27664,1.60353,0.83113,0.6787,0.73187,0.41276,1.54524,1.94797,1.75945,0.00123791,0.00123791,0.00123791
15,2226.68,1.21783,1.26765,1.58586,0.75406,0.67066,0.7153,0.41493,1.5472,1.97019,1.76002,0.00120491,0.00120491,0.00120491
16,2377.08,1.20405,1.23974,1.58335,0.80885,0.71877,0.75678,0.4561,1.48085,1.90346,1.71501,0.0011719,0.0011719,0.0011719
17,2525.92,1.20396,1.20943,1.58557,0.78192,0.70358,0.74259,0.46089,1.49066,1.76192,1.71669,0.00113889,0.00113889,0.00113889
18,2679.16,1.16723,1.1731,1.5602,0.79637,0.7169,0.76475,0.47129,1.4378,1.75214,1.68037,0.00110589,0.00110589,0.00110589
19,2827.42,1.15559,1.15497,1.54338,0.79353,0.71716,0.76702,0.46565,1.43334,1.70857,1.68453,0.00107288,0.00107288,0.00107288
20,2976.11,1.1385,1.12192,1.53009,0.79632,0.7497,0.78285,0.4707,1.45379,1.99521,1.66069,0.00103987,0.00103987,0.00103987
21,3124.4,1.1432,1.11332,1.53264,0.80664,0.74588,0.8009,0.50528,1.39467,2.10384,1.63946,0.00100687,0.00100687,0.00100687
22,3273.21,1.1191,1.09569,1.50941,0.82944,0.76387,0.81231,0.4903,1.41205,2.13746,1.63239,0.000973861,0.000973861,0.000973861
23,3419.66,1.10143,1.07001,1.49704,0.84276,0.77969,0.82937,0.51881,1.39177,1.67346,1.62224,0.000940855,0.000940855,0.000940855
24,3567.14,1.09829,1.05618,1.49297,0.84481,0.75186,0.8206,0.5053,1.42884,1.49044,1.63135,0.000907848,0.000907848,0.000907848
25,3712.71,1.09909,1.04079,1.49024,0.84663,0.7674,0.82211,0.51589,1.36672,1.59487,1.59143,0.000874842,0.000874842,0.000874842
26,3862.4,1.07955,1.01223,1.47813,0.86101,0.76306,0.84226,0.53421,1.36056,1.72435,1.59184,0.000841835,0.000841835,0.000841835
27,4008.19,1.07231,1.00258,1.46786,0.8756,0.76726,0.84397,0.53596,1.37446,1.4103,1.61414,0.000808828,0.000808828,0.000808828
28,4157.27,1.06756,0.99332,1.4704,0.84157,0.76951,0.83552,0.53977,1.36295,1.49479,1.58726,0.000775822,0.000775822,0.000775822
